"edad_rango","educacion","rol","anos_codigo","usa_Python","usa_R","salario_usd"
"25-29","Doctoral degree","Data Scientist","20+ years",1,0,77000
"25-29","Bachelor's degree","Data Analyst","3-5 years",1,0,39000
"18-21","Master's degree","Student","1-2 years",0,1,10000
"22-24","Bachelor's degree","Data Engineer","5-10 years",1,0,122000
"30-34","Some college/university study","Data Scientist","20+ years",0,0,
"30-34","Master's degree","Research Scientist","5-10 years",0,1,
"45-49","Bachelor's degree","Data Analyst","10-20 years",0,0,40000
"30-34","Master's degree","ML Engineer","3-5 years",1,0,90000
"25-29","Master's degree","ML Engineer","5-10 years",1,0,128000
"30-34","Bachelor's degree","Student","5-10 years",1,0,1500
"30-34","Bachelor's degree","Software Engineer","3-5 years",1,0,62000
"35-39","Master's degree","Data Engineer","5-10 years",0,1,
"40-44","Doctoral degree","Data Analyst","5-10 years",1,0,97000
"25-29","Bachelor's degree","ML Engineer","< 1 year",1,0,50000
"18-21","Master's degree","Data Scientist","5-10 years",1,1,
"40-44","Bachelor's degree","Research Scientist","3-5 years",0,0,68000
"35-39","Bachelor's degree","Student","< 1 year",0,0,
"18-21","Master's degree","Business Analyst","1-2 years",1,1,
"30-34","Master's degree","Software Engineer","20+ years",1,0,35000
"45-49","Bachelor's degree","Student","< 1 year",1,1,10000
"35-39","Doctoral degree","ML Engineer","5-10 years",1,0,208000
"25-29","Doctoral degree","Student","1-2 years",1,0,10000
"30-34","Master's degree","Other","5-10 years",1,0,104000
"25-29","Professional degree","Data Scientist","3-5 years",1,0,80000
"35-39","Master's degree","Data Scientist","1-2 years",1,0,207000
"18-21","Doctoral degree","Other","10-20 years",0,0,32000
"35-39","Master's degree","Software Engineer","1-2 years",1,0,109000
"30-34","Master's degree","Data Scientist","20+ years",1,0,
"18-21","Master's degree","Software Engineer","3-5 years",1,1,43000
"40-44","Bachelor's degree","Student","10-20 years",0,0,
"35-39","Bachelor's degree","Data Analyst","< 1 year",1,0,22000
"25-29","Bachelor's degree","Data Analyst","10-20 years",1,0,38000
"25-29","Master's degree","Data Scientist","5-10 years",1,1,146000
"22-24","Some college/university study","Software Engineer","5-10 years",0,0,79000
"30-34","Doctoral degree","Data Scientist","3-5 years",1,0,
"30-34","Master's degree","ML Engineer","5-10 years",1,0,116000
"22-24","Doctoral degree","Data Scientist","3-5 years",1,0,27000
"25-29","Master's degree","Software Engineer","3-5 years",0,0,245000
"25-29","Some college/university study","Data Analyst","5-10 years",1,0,15000
"30-34","Some college/university study","Data Scientist","5-10 years",1,0,75000
"22-24","Master's degree","Business Analyst","3-5 years",1,0,52000
"35-39","Doctoral degree","ML Engineer","5-10 years",1,0,155000
"40-44","Some college/university study","Student","< 1 year",0,0,
"22-24","Master's degree","Data Analyst","10-20 years",1,1,81000
"30-34","Bachelor's degree","Research Scientist","20+ years",1,1,212000
"30-34","Bachelor's degree","Statistician","20+ years",0,1,70000
"30-34","Master's degree","Other","20+ years",1,1,42000
"22-24","Bachelor's degree","Business Analyst","5-10 years",1,0,110000
"22-24","Master's degree","Software Engineer","10-20 years",1,0,142000
"35-39","Some college/university study","ML Engineer","5-10 years",1,1,295000
"30-34","Bachelor's degree","Data Engineer","20+ years",1,0,106000
"35-39","Doctoral degree","Data Scientist","3-5 years",1,0,80000
"25-29","Master's degree","Software Engineer","5-10 years",1,0,
"25-29","Some college/university study","Software Engineer","3-5 years",1,0,134000
"35-39","Bachelor's degree","Data Engineer","5-10 years",1,0,138000
"18-21","Master's degree","ML Engineer","20+ years",1,0,132000
"35-39","Bachelor's degree","Other","3-5 years",1,0,26000
"25-29","Doctoral degree","Software Engineer","10-20 years",0,0,113000
"30-34","Master's degree","Software Engineer","1-2 years",1,0,86000
"45-49","No formal education past high school","Software Engineer","3-5 years",0,0,
"18-21","Master's degree","ML Engineer","3-5 years",0,0,99000
"30-34","Professional degree","Research Scientist","5-10 years",1,1,143000
"45-49","Doctoral degree","Statistician","10-20 years",1,0,103000
"30-34","Doctoral degree","Student","1-2 years",1,0,
"18-21","Some college/university study","Software Engineer","20+ years",0,0,124000
"22-24","No formal education past high school","Data Analyst","10-20 years",0,0,
"18-21","Bachelor's degree","ML Engineer","10-20 years",1,0,75000
"30-34","Master's degree","Student","3-5 years",1,0,5000
"40-44","Master's degree","Business Analyst","10-20 years",1,0,111000
"18-21","No formal education past high school","Data Scientist","3-5 years",1,1,
"35-39","Bachelor's degree","Student","5-10 years",0,0,
"25-29","Doctoral degree","ML Engineer","5-10 years",1,0,137000
"22-24","Some college/university study","Data Analyst","5-10 years",1,0,172000
"18-21","Master's degree","Student","1-2 years",1,0,
"55-59","Bachelor's degree","Software Engineer","3-5 years",0,0,55000
"22-24","Master's degree","ML Engineer","1-2 years",1,0,133000
"22-24","Bachelor's degree","Data Engineer","5-10 years",1,1,94000
"22-24","Master's degree","Statistician","1-2 years",0,1,155000
"18-21","Doctoral degree","Data Scientist","1-2 years",1,0,36000
"22-24","Some college/university study","Data Engineer","1-2 years",1,0,163000
"30-34","Some college/university study","ML Engineer","10-20 years",1,0,
"30-34","Master's degree","Software Engineer","5-10 years",1,0,33000
"30-34","Bachelor's degree","Student","10-20 years",0,0,
"25-29","Bachelor's degree","Business Analyst","10-20 years",1,1,27000
"25-29","Master's degree","Data Engineer","10-20 years",1,1,45000
"45-49","Bachelor's degree","Data Analyst","5-10 years",1,0,
"35-39","Bachelor's degree","Student","3-5 years",1,0,
"18-21","Master's degree","Software Engineer","5-10 years",1,0,
"30-34","Bachelor's degree","Statistician","20+ years",1,0,39000
"55-59","Master's degree","ML Engineer","1-2 years",1,0,76000
"22-24","Professional degree","Data Scientist","5-10 years",1,1,59000
"60+","Some college/university study","Data Scientist","1-2 years",1,0,39000
"45-49","Bachelor's degree","Data Scientist","3-5 years",1,1,96000
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,0,66000
"30-34","Master's degree","ML Engineer","< 1 year",1,0,92000
"22-24","Bachelor's degree","Student","< 1 year",0,0,10000
"22-24","Doctoral degree","Statistician","5-10 years",1,1,
"18-21","Bachelor's degree","Data Analyst","20+ years",1,0,44000
"25-29","Bachelor's degree","Student","20+ years",1,0,10000
"25-29","Some college/university study","ML Engineer","5-10 years",1,0,92000
"40-44","Master's degree","Student","3-5 years",0,0,
"35-39","Master's degree","Student","10-20 years",0,0,
"45-49","Master's degree","Student","1-2 years",1,0,
"25-29","Bachelor's degree","Data Scientist","5-10 years",1,0,
"22-24","Bachelor's degree","Business Analyst","1-2 years",1,0,23000
"22-24","Doctoral degree","Business Analyst","3-5 years",0,0,137000
"50-54","No formal education past high school","ML Engineer","5-10 years",1,0,
"25-29","Bachelor's degree","Statistician","5-10 years",0,1,49000
"18-21","Doctoral degree","Student","5-10 years",1,1,
"25-29","Doctoral degree","Data Scientist","3-5 years",1,1,95000
"50-54","Master's degree","Data Analyst","3-5 years",1,0,62000
"22-24","Doctoral degree","Statistician","5-10 years",0,1,22000
"22-24","Professional degree","Software Engineer","1-2 years",1,1,85000
"30-34","Some college/university study","Student","10-20 years",0,0,10000
"18-21","Master's degree","Data Scientist","1-2 years",1,1,112000
"25-29","Bachelor's degree","Student","3-5 years",0,0,20000
"25-29","Doctoral degree","Software Engineer","3-5 years",1,0,118000
"35-39","Professional degree","Research Scientist","5-10 years",1,1,78000
"30-34","Master's degree","Data Scientist","3-5 years",1,1,64000
"25-29","Bachelor's degree","Data Engineer","5-10 years",1,1,40000
"60+","Doctoral degree","Statistician","10-20 years",1,0,65000
"18-21","Bachelor's degree","Research Scientist","1-2 years",1,1,50000
"25-29","No formal education past high school","Student","10-20 years",0,0,
"30-34","Master's degree","Software Engineer","3-5 years",1,0,119000
"18-21","Master's degree","Data Analyst","1-2 years",1,1,48000
"35-39","Bachelor's degree","Data Engineer","3-5 years",1,0,157000
"35-39","Master's degree","Data Engineer","10-20 years",0,1,37000
"25-29","Bachelor's degree","ML Engineer","3-5 years",0,0,163000
"45-49","Master's degree","Data Scientist","5-10 years",1,0,
"45-49","Some college/university study","Data Scientist","3-5 years",1,1,217000
"45-49","Master's degree","Software Engineer","5-10 years",1,0,76000
"25-29","Master's degree","Data Scientist","3-5 years",1,1,71000
"22-24","Some college/university study","Software Engineer","3-5 years",0,0,132000
"22-24","Bachelor's degree","Student","3-5 years",1,0,5000
"25-29","Bachelor's degree","Data Analyst","1-2 years",1,0,61000
"25-29","Some college/university study","Student","20+ years",1,0,
"25-29","Master's degree","Data Scientist","20+ years",1,1,121000
"22-24","Master's degree","Research Scientist","10-20 years",1,1,90000
"25-29","Master's degree","Data Analyst","5-10 years",1,0,104000
"18-21","Master's degree","Business Analyst","5-10 years",1,0,64000
"22-24","Master's degree","Data Engineer","10-20 years",0,0,91000
"30-34","Some college/university study","Data Scientist","3-5 years",1,1,43000
"30-34","Some college/university study","Data Scientist","3-5 years",0,1,101000
"40-44","Doctoral degree","Software Engineer","< 1 year",1,0,86000
"30-34","Bachelor's degree","Statistician","5-10 years",1,1,56000
"35-39","Doctoral degree","Data Analyst","5-10 years",1,0,59000
"18-21","Bachelor's degree","Business Analyst","5-10 years",0,1,147000
"50-54","Professional degree","Data Engineer","1-2 years",1,0,
"30-34","Master's degree","Business Analyst","5-10 years",1,0,35000
"18-21","Bachelor's degree","Research Scientist","5-10 years",0,1,98000
"40-44","Master's degree","Other","5-10 years",1,0,
"35-39","Master's degree","Data Scientist","10-20 years",1,0,67000
"35-39","Doctoral degree","Software Engineer","1-2 years",0,0,50000
"25-29","Bachelor's degree","Data Analyst","5-10 years",1,0,111000
"25-29","Bachelor's degree","Statistician","10-20 years",0,0,
"30-34","Bachelor's degree","Data Analyst","10-20 years",1,0,78000
"22-24","Bachelor's degree","Data Scientist","1-2 years",0,1,84000
"22-24","Bachelor's degree","Data Analyst","3-5 years",0,0,143000
"50-54","Bachelor's degree","Data Scientist","1-2 years",1,1,
"40-44","Bachelor's degree","ML Engineer","5-10 years",1,0,142000
"30-34","Master's degree","Software Engineer","5-10 years",1,1,56000
"30-34","Master's degree","Student","5-10 years",0,1,1500
"22-24","Master's degree","Student","10-20 years",1,0,
"25-29","Doctoral degree","Statistician","3-5 years",1,1,56000
"22-24","Master's degree","Data Scientist","1-2 years",0,0,99000
"25-29","Doctoral degree","Other","20+ years",1,0,41000
"30-34","Bachelor's degree","Data Analyst","3-5 years",0,0,52000
"25-29","Some college/university study","Data Analyst","3-5 years",1,0,
"30-34","Bachelor's degree","ML Engineer","3-5 years",1,0,
"45-49","Master's degree","ML Engineer","< 1 year",1,0,151000
"18-21","Bachelor's degree","Software Engineer","5-10 years",1,0,111000
"55-59","Bachelor's degree","Data Scientist","< 1 year",1,1,81000
"45-49","Master's degree","Research Scientist","10-20 years",0,0,96000
"25-29","Doctoral degree","Software Engineer","3-5 years",1,0,
"35-39","Master's degree","Student","3-5 years",1,0,
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,0,75000
"18-21","Master's degree","Data Scientist","5-10 years",1,1,
"55-59","Doctoral degree","Software Engineer","< 1 year",0,0,149000
"30-34","Master's degree","Student","3-5 years",1,1,
"40-44","Bachelor's degree","Research Scientist","10-20 years",1,1,61000
"22-24","Bachelor's degree","Other","3-5 years",1,0,69000
"30-34","Bachelor's degree","Student","10-20 years",1,1,
"25-29","Bachelor's degree","ML Engineer","5-10 years",1,0,101000
"30-34","Master's degree","Data Scientist","1-2 years",1,0,99000
"35-39","Bachelor's degree","ML Engineer","1-2 years",1,0,116000
"18-21","Master's degree","Research Scientist","20+ years",0,1,155000
"45-49","Some college/university study","Software Engineer","1-2 years",0,0,39000
"30-34","Bachelor's degree","Student","< 1 year",1,0,
"30-34","Bachelor's degree","Data Scientist","5-10 years",1,0,105000
"30-34","Master's degree","Data Analyst","3-5 years",1,0,
"30-34","Master's degree","Data Analyst","< 1 year",0,0,53000
"18-21","Professional degree","Other","5-10 years",0,0,53000
"18-21","Doctoral degree","Student","5-10 years",1,0,15000
"22-24","Doctoral degree","Data Analyst","3-5 years",0,1,
"30-34","Master's degree","ML Engineer","1-2 years",1,0,109000
"22-24","Bachelor's degree","Data Analyst","3-5 years",1,1,39000
"50-54","Doctoral degree","Student","1-2 years",0,0,
"18-21","Bachelor's degree","Data Analyst","5-10 years",1,0,63000
"25-29","Bachelor's degree","Business Analyst","< 1 year",1,0,36000
"30-34","Master's degree","Student","1-2 years",1,0,
"22-24","Bachelor's degree","Business Analyst","< 1 year",0,0,66000
"30-34","Bachelor's degree","Data Engineer","1-2 years",0,0,74000
"30-34","Bachelor's degree","ML Engineer","1-2 years",0,0,94000
"30-34","Master's degree","Student","5-10 years",1,0,
"35-39","Master's degree","Data Scientist","3-5 years",1,0,166000
"25-29","Bachelor's degree","ML Engineer","5-10 years",1,0,
"30-34","Doctoral degree","Student","5-10 years",1,0,
"35-39","Bachelor's degree","Other","3-5 years",0,0,58000
"40-44","Bachelor's degree","Data Engineer","3-5 years",1,0,174000
"30-34","Master's degree","Student","1-2 years",1,0,
"18-21","Bachelor's degree","Student","< 1 year",0,0,
"45-49","Master's degree","Student","10-20 years",1,0,
"25-29","Master's degree","Software Engineer","5-10 years",1,0,
"45-49","Master's degree","Software Engineer","5-10 years",0,0,
"25-29","Professional degree","Student","5-10 years",1,0,
"35-39","Doctoral degree","Student","3-5 years",0,0,
"30-34","Bachelor's degree","Student","3-5 years",1,0,15000
"25-29","Master's degree","Research Scientist","1-2 years",1,1,81000
"40-44","Master's degree","Data Analyst","10-20 years",0,1,34000
"22-24","Master's degree","Student","3-5 years",0,0,
"40-44","Master's degree","ML Engineer","< 1 year",1,0,142000
"30-34","Bachelor's degree","Data Analyst","1-2 years",1,0,69000
"25-29","Bachelor's degree","Data Scientist","3-5 years",1,0,
"40-44","Bachelor's degree","Data Scientist","3-5 years",1,0,129000
"40-44","Bachelor's degree","Data Scientist","1-2 years",1,1,111000
"30-34","Doctoral degree","Statistician","3-5 years",1,1,105000
"35-39","Bachelor's degree","Student","3-5 years",1,0,10000
"30-34","Bachelor's degree","Software Engineer","5-10 years",1,0,27000
"35-39","Master's degree","Research Scientist","< 1 year",0,1,49000
"40-44","Master's degree","Data Analyst","10-20 years",1,0,69000
"25-29","Doctoral degree","ML Engineer","10-20 years",1,0,68000
"25-29","Master's degree","Software Engineer","3-5 years",1,0,87000
"35-39","Bachelor's degree","Student","5-10 years",1,0,
"22-24","Some college/university study","ML Engineer","5-10 years",1,0,71000
"25-29","Bachelor's degree","Business Analyst","1-2 years",1,1,53000
"30-34","Bachelor's degree","Data Analyst","3-5 years",0,0,73000
"40-44","Bachelor's degree","Data Analyst","5-10 years",1,0,45000
"25-29","Bachelor's degree","Business Analyst","3-5 years",1,1,72000
"25-29","Bachelor's degree","Data Engineer","10-20 years",0,1,83000
"45-49","Bachelor's degree","Student","3-5 years",0,0,1500
"22-24","Master's degree","Business Analyst","10-20 years",1,1,46000
"40-44","Bachelor's degree","Data Engineer","3-5 years",1,1,
"30-34","Master's degree","ML Engineer","10-20 years",1,0,112000
"55-59","Bachelor's degree","Other","5-10 years",1,0,22000
"35-39","Master's degree","Statistician","5-10 years",0,1,79000
"35-39","Bachelor's degree","Software Engineer","3-5 years",0,0,150000
"40-44","Master's degree","Data Scientist","1-2 years",1,1,
"45-49","No formal education past high school","Student","1-2 years",0,0,
"25-29","Master's degree","Data Analyst","3-5 years",1,0,49000
"25-29","Some college/university study","ML Engineer","5-10 years",1,1,81000
"45-49","Bachelor's degree","Data Scientist","1-2 years",0,0,158000
"35-39","Bachelor's degree","Research Scientist","5-10 years",0,1,85000
"22-24","Doctoral degree","Business Analyst","1-2 years",0,0,49000
"30-34","Professional degree","Software Engineer","10-20 years",0,0,135000
"25-29","Master's degree","Research Scientist","10-20 years",1,0,125000
"22-24","Some college/university study","Other","10-20 years",1,0,49000
"18-21","Master's degree","ML Engineer","5-10 years",1,0,223000
"18-21","No formal education past high school","Data Scientist","10-20 years",1,1,133000
"25-29","Master's degree","Data Engineer","5-10 years",1,0,
"45-49","Master's degree","Other","3-5 years",1,0,67000
"18-21","Master's degree","Other","10-20 years",1,0,24000
"22-24","Bachelor's degree","Student","3-5 years",1,0,15000
"22-24","Doctoral degree","Data Scientist","< 1 year",1,1,242000
"22-24","Bachelor's degree","Business Analyst","10-20 years",1,0,38000
"35-39","Master's degree","Software Engineer","20+ years",1,1,62000
"22-24","Master's degree","Other","10-20 years",1,0,
"40-44","Doctoral degree","Data Engineer","10-20 years",1,1,118000
"22-24","Bachelor's degree","Software Engineer","5-10 years",0,0,77000
"35-39","Bachelor's degree","Business Analyst","1-2 years",1,0,53000
"25-29","Doctoral degree","Data Scientist","20+ years",1,0,53000
"25-29","Master's degree","Student","< 1 year",0,1,
"55-59","Master's degree","Research Scientist","< 1 year",0,1,104000
"35-39","Master's degree","Data Engineer","10-20 years",1,0,135000
"25-29","Bachelor's degree","Software Engineer","10-20 years",1,1,51000
"22-24","Some college/university study","Data Scientist","10-20 years",1,1,134000
"40-44","Some college/university study","Student","5-10 years",1,1,
"18-21","Master's degree","ML Engineer","3-5 years",1,0,112000
"25-29","Bachelor's degree","Data Analyst","3-5 years",0,0,35000
"22-24","Bachelor's degree","Data Analyst","< 1 year",1,0,58000
"25-29","Doctoral degree","Research Scientist","5-10 years",1,1,90000
"22-24","Bachelor's degree","Other","20+ years",1,1,63000
"18-21","Doctoral degree","Student","< 1 year",1,0,
"25-29","Bachelor's degree","Student","20+ years",1,1,
"30-34","Master's degree","Data Analyst","3-5 years",0,0,
"30-34","Master's degree","Software Engineer","3-5 years",1,0,148000
"35-39","Bachelor's degree","Data Scientist","1-2 years",1,0,99000
"22-24","Doctoral degree","Software Engineer","10-20 years",1,1,108000
"18-21","Bachelor's degree","Data Engineer","10-20 years",0,0,80000
"25-29","Master's degree","Data Scientist","5-10 years",1,0,87000
"22-24","Bachelor's degree","Student","< 1 year",0,1,
"18-21","Some college/university study","ML Engineer","5-10 years",1,0,77000
"30-34","Master's degree","Student","5-10 years",1,0,
"35-39","No formal education past high school","Student","5-10 years",1,0,
"18-21","Master's degree","Data Scientist","3-5 years",1,0,89000
"35-39","Master's degree","Software Engineer","1-2 years",1,0,104000
"35-39","Master's degree","Business Analyst","5-10 years",1,0,69000
"18-21","Master's degree","Data Scientist","5-10 years",1,1,292000
"25-29","Doctoral degree","Software Engineer","3-5 years",1,0,76000
"25-29","Master's degree","Business Analyst","3-5 years",0,0,52000
"30-34","Doctoral degree","Other","3-5 years",1,0,67000
"18-21","Master's degree","Research Scientist","3-5 years",1,1,153000
"22-24","Bachelor's degree","Software Engineer","< 1 year",1,0,132000
"22-24","Some college/university study","Other","1-2 years",0,0,
"35-39","Bachelor's degree","Data Scientist","3-5 years",1,0,153000
"25-29","Bachelor's degree","Data Scientist","< 1 year",1,0,108000
"50-54","Bachelor's degree","Data Engineer","1-2 years",1,0,81000
"18-21","Master's degree","Research Scientist","10-20 years",0,1,188000
"35-39","Bachelor's degree","Other","3-5 years",0,0,44000
"45-49","Master's degree","ML Engineer","3-5 years",1,0,
"18-21","Professional degree","Research Scientist","1-2 years",1,1,96000
"45-49","Master's degree","Software Engineer","3-5 years",1,0,71000
"18-21","Master's degree","Data Scientist","5-10 years",1,0,149000
"22-24","Bachelor's degree","Data Engineer","10-20 years",1,1,34000
"18-21","Master's degree","Business Analyst","5-10 years",1,0,86000
"35-39","Master's degree","ML Engineer","5-10 years",1,0,94000
"25-29","Doctoral degree","Data Analyst","1-2 years",1,0,61000
"35-39","Bachelor's degree","Software Engineer","< 1 year",0,0,48000
"22-24","Doctoral degree","Data Scientist","5-10 years",1,0,113000
"25-29","Bachelor's degree","Data Engineer","< 1 year",1,0,97000
"18-21","Professional degree","Other","3-5 years",1,0,45000
"25-29","Doctoral degree","Student","10-20 years",1,0,
"25-29","Doctoral degree","ML Engineer","5-10 years",1,0,101000
"18-21","Master's degree","Statistician","10-20 years",1,1,79000
"25-29","Master's degree","Research Scientist","3-5 years",1,1,74000
"18-21","Master's degree","Business Analyst","3-5 years",1,1,32000
"22-24","Master's degree","Data Analyst","< 1 year",0,0,57000
"25-29","Master's degree","Software Engineer","3-5 years",0,1,125000
"30-34","Master's degree","Student","10-20 years",1,0,5000
"45-49","Master's degree","Data Scientist","1-2 years",1,0,112000
"25-29","Bachelor's degree","Student","1-2 years",1,0,
"22-24","Professional degree","Data Scientist","3-5 years",1,0,97000
"22-24","Doctoral degree","Data Analyst","3-5 years",1,0,74000
"18-21","Some college/university study","Student","5-10 years",0,0,
"22-24","Bachelor's degree","Data Scientist","3-5 years",1,1,113000
"40-44","Doctoral degree","Research Scientist","10-20 years",1,1,
"35-39","Doctoral degree","Research Scientist","5-10 years",0,1,52000
"40-44","Doctoral degree","Research Scientist","3-5 years",0,1,56000
"35-39","Bachelor's degree","Software Engineer","5-10 years",0,0,71000
"30-34","Master's degree","Data Scientist","10-20 years",1,1,122000
"18-21","Bachelor's degree","Data Scientist","20+ years",1,1,160000
"50-54","Bachelor's degree","Data Analyst","5-10 years",1,1,55000
"30-34","Some college/university study","Data Engineer","1-2 years",1,0,77000
"25-29","Master's degree","Software Engineer","5-10 years",0,0,105000
"25-29","Doctoral degree","Student","3-5 years",1,0,
"22-24","Master's degree","Data Engineer","1-2 years",1,0,115000
"18-21","Master's degree","Software Engineer","5-10 years",1,0,70000
"40-44","Bachelor's degree","Software Engineer","3-5 years",0,0,72000
"25-29","Master's degree","Research Scientist","1-2 years",1,1,
"40-44","Some college/university study","Data Scientist","< 1 year",1,1,146000
"22-24","Bachelor's degree","Data Analyst","3-5 years",1,0,
"22-24","Some college/university study","Data Engineer","1-2 years",1,0,94000
"40-44","Master's degree","Statistician","3-5 years",0,1,
"25-29","Bachelor's degree","Data Analyst","10-20 years",1,0,
"25-29","Bachelor's degree","Data Scientist","10-20 years",1,0,
"35-39","Doctoral degree","Data Scientist","< 1 year",0,0,103000
"25-29","Professional degree","Data Scientist","10-20 years",0,1,164000
"45-49","Master's degree","Other","10-20 years",1,0,41000
"30-34","No formal education past high school","Business Analyst","20+ years",1,0,73000
"18-21","Bachelor's degree","Software Engineer","10-20 years",1,0,206000
"35-39","Master's degree","Other","1-2 years",1,0,22000
"18-21","Bachelor's degree","Other","3-5 years",1,0,81000
"22-24","Doctoral degree","Other","3-5 years",0,0,71000
"40-44","Some college/university study","Business Analyst","10-20 years",1,0,71000
"25-29","Bachelor's degree","Statistician","10-20 years",0,1,168000
"30-34","No formal education past high school","Student","10-20 years",1,0,
"25-29","Doctoral degree","Student","5-10 years",1,0,
"30-34","Master's degree","Data Analyst","3-5 years",1,0,127000
"50-54","Bachelor's degree","Research Scientist","5-10 years",1,0,73000
"30-34","Bachelor's degree","Data Scientist","20+ years",1,0,141000
"40-44","No formal education past high school","Software Engineer","5-10 years",0,0,33000
"30-34","Bachelor's degree","Student","3-5 years",1,1,5000
"60+","Bachelor's degree","Research Scientist","3-5 years",0,1,78000
"18-21","Bachelor's degree","Data Scientist","10-20 years",1,0,49000
"22-24","Master's degree","Business Analyst","1-2 years",0,1,87000
"30-34","Bachelor's degree","Data Engineer","20+ years",1,0,101000
"22-24","Bachelor's degree","Other","5-10 years",1,0,91000
"25-29","Master's degree","Data Scientist","10-20 years",1,0,63000
"45-49","Bachelor's degree","Data Analyst","3-5 years",1,0,42000
"45-49","No formal education past high school","Student","1-2 years",1,0,
"30-34","No formal education past high school","Data Analyst","5-10 years",0,0,28000
"22-24","Bachelor's degree","Data Analyst","10-20 years",0,0,62000
"18-21","Master's degree","Other","5-10 years",0,0,151000
"22-24","Master's degree","Data Scientist","< 1 year",1,1,90000
"40-44","Some college/university study","Business Analyst","20+ years",0,0,
"22-24","Bachelor's degree","Data Scientist","5-10 years",1,1,169000
"30-34","Bachelor's degree","Data Scientist","3-5 years",1,1,51000
"25-29","Bachelor's degree","Student","3-5 years",1,0,1500
"18-21","Master's degree","Data Scientist","1-2 years",1,0,73000
"30-34","Bachelor's degree","Data Scientist","5-10 years",1,1,
"30-34","Master's degree","Data Analyst","3-5 years",0,0,70000
"22-24","Bachelor's degree","Business Analyst","10-20 years",1,0,
"25-29","Master's degree","Data Scientist","10-20 years",1,1,103000
"18-21","Bachelor's degree","Data Scientist","1-2 years",1,1,68000
"35-39","Master's degree","Student","10-20 years",1,1,
"25-29","Bachelor's degree","Student","3-5 years",1,0,
"35-39","Master's degree","Software Engineer","3-5 years",1,1,53000
"55-59","Bachelor's degree","Research Scientist","1-2 years",1,1,48000
"22-24","Master's degree","Data Scientist","1-2 years",1,0,87000
"25-29","Master's degree","Software Engineer","3-5 years",1,0,
"30-34","Bachelor's degree","Data Engineer","20+ years",1,0,147000
"35-39","Master's degree","Data Scientist","< 1 year",1,0,101000
"30-34","Bachelor's degree","Statistician","1-2 years",0,1,75000
"30-34","Master's degree","Data Scientist","5-10 years",1,0,5e+05
"18-21","Doctoral degree","Other","1-2 years",1,0,98000
"22-24","Master's degree","Business Analyst","3-5 years",0,0,
"30-34","Master's degree","Data Analyst","< 1 year",1,1,46000
"30-34","Bachelor's degree","Student","20+ years",0,0,
"22-24","Master's degree","Data Analyst","1-2 years",1,0,92000
"30-34","Bachelor's degree","Business Analyst","< 1 year",1,0,29000
"35-39","Master's degree","Business Analyst","3-5 years",0,0,72000
"25-29","Bachelor's degree","Data Scientist","5-10 years",1,0,63000
"22-24","Some college/university study","Software Engineer","1-2 years",1,0,80000
"18-21","Some college/university study","Software Engineer","3-5 years",0,0,37000
"25-29","Some college/university study","Data Analyst","20+ years",1,0,21000
"40-44","Bachelor's degree","Data Scientist","10-20 years",1,0,61000
"25-29","Bachelor's degree","Software Engineer","3-5 years",1,0,
"35-39","Master's degree","Data Analyst","3-5 years",1,0,73000
"22-24","Master's degree","ML Engineer","1-2 years",1,0,51000
"22-24","Bachelor's degree","Data Analyst","5-10 years",1,1,90000
"30-34","Master's degree","Software Engineer","5-10 years",0,0,70000
"22-24","Some college/university study","Software Engineer","3-5 years",0,1,111000
"22-24","Bachelor's degree","Student","5-10 years",1,0,
"35-39","Master's degree","Data Scientist","3-5 years",1,0,115000
"18-21","Master's degree","Data Scientist","10-20 years",1,1,135000
"25-29","No formal education past high school","Student","1-2 years",1,0,
"25-29","Bachelor's degree","Software Engineer","1-2 years",1,0,62000
"25-29","Doctoral degree","Data Engineer","1-2 years",1,0,80000
"30-34","Doctoral degree","ML Engineer","20+ years",1,0,
"35-39","Bachelor's degree","Student","3-5 years",1,0,
"40-44","Professional degree","Statistician","10-20 years",1,1,67000
"22-24","Professional degree","Data Engineer","3-5 years",1,0,
"40-44","Doctoral degree","Data Analyst","5-10 years",1,0,76000
"22-24","Master's degree","Data Analyst","3-5 years",1,0,32000
"30-34","No formal education past high school","Business Analyst","10-20 years",1,0,82000
"18-21","Master's degree","Research Scientist","< 1 year",0,1,56000
"18-21","Bachelor's degree","Data Scientist","< 1 year",1,1,119000
"22-24","Master's degree","Student","3-5 years",1,1,
"25-29","Master's degree","Software Engineer","5-10 years",1,0,1e+05
"22-24","Bachelor's degree","Student","3-5 years",1,0,5000
"25-29","Doctoral degree","Data Scientist","1-2 years",1,1,48000
"30-34","Professional degree","Software Engineer","20+ years",1,0,134000
"30-34","Master's degree","Student","< 1 year",1,0,
"25-29","Master's degree","Student","5-10 years",1,0,
"22-24","Bachelor's degree","Student","5-10 years",1,0,
"22-24","Bachelor's degree","Data Scientist","10-20 years",1,0,46000
"25-29","Master's degree","Data Analyst","3-5 years",1,0,
"22-24","Doctoral degree","Research Scientist","10-20 years",1,0,35000
"45-49","Master's degree","Data Engineer","3-5 years",1,0,109000
"22-24","Bachelor's degree","Student","10-20 years",0,1,5000
"22-24","Bachelor's degree","Data Scientist","3-5 years",1,0,82000
"25-29","Master's degree","Data Analyst","5-10 years",0,0,40000
